"Permis_Numéro","Permis_Date_de_début","Permis_Date_de_fin","Gardien_Territoire_ex_villes","Animal_Type_de_permis","Animal_Nom","Animal_Catégorie_race_primaire_de_chiens","Animal_Race_primaire_des_chiens","Animal_Race_croisé_des_chiens","Animal_Sexe","Animal_Couleur","Animal_Date_de_naissance","Animal_Vaccination","Animal_Stérilisation","Animal_Poids_kg","Animal_Micropuce","Animal_Potentiellement_dangereux"
"177329","2019-07-04","2020-07-04","Chomedey","Chien","Mickey","Chiens nains","Terrier du Yorkshire","","Mâle","Beige et noir","2012-04-22","1","0","2,47","0","0"
"160902","2019-01-31","2020-01-30","Laval-des-Rapides","Chien","Spencer15","Chiens de travail","Bouvier bernois","Autre","Mâle","Noir / Blanc","2015-08-16","1","1","38,55","1","0"
"173519","2019-07-09","2020-07-08","Duvernay","Chien","Sparrow","Chiens de travail","Boxer","Husky sibérien","Mâle","noir blanc","2012-01-13","1","1","35","1","0"
"173048","2019-05-10","2020-05-10","Fabreville","Chien","Max","Chiens nains","poméranien","Shih Tzu","Mâle","Roux","2019-01-07","0","0","0","1","0"
"176992","2019-06-05","2020-06-05","Sainte-Dorothée","Chien","Logan","Chiens de travail","Husky sibérien","retriever labrador","Mâle","Lion colored","2019-03-21","0","1","7,5","1","0"
"174764","2019-11-01","2020-10-31","Laval-des-Rapides","Chien","Pooh","Chiens de berger","Berger australien","","Mâle","Rouge","2018-04-01","0","1","20","0","0"
"177008","2019-06-14","2020-06-14","Fabreville","Chien","Apollo","Chiens de sport","retriever labrador","Autre","Mâle","","2013-12-01","0","1","0","1","0"
"174228","2019-09-18","2020-09-18","Saint-Vincent-de-Paul","Chien","Théo","Chiens nains","Terrier du Yorkshire","","Mâle","Noir/feux","2018-09-22","1","1","2","1","0"
"169438","2019-09-03","2020-09-03","Laval-des-Rapides","Chien","Kiki ","Chiens de compagnie","Shih Tzu","chihuahua a poil court","Mâle","noir et blanc ","2014-01-01","0","1","6","0","0"
"165684","2019-04-01","2020-04-01","Chomedey","Chien","Katou","Chiens nains","Bichon maltais","","Femelle","blanche","2004-11-12","0","1","4,5","0","0"
"68374","2019-11-20","2020-11-20","Chomedey","Chat","Thor ","","","Autre","Mâle","noir ","2019-03-29","0","1","2,7","1","0"
"177251","2019-06-28","2020-06-28","Pont-Viau","Chien","Charlotte","Chiens de sport","retriever labrador","","Femelle","Chocolat","2015-06-01","0","1","36,28","1","0"
"177038","2019-06-17","2020-06-17","Vimont","Chien","Arya","Chiens de compagnie","Lhasa apso","Autre","Femelle","Bicolor","2019-04-02","0","1","0","1","0"
"176879","2019-04-25","2020-04-24","Vimont","Chien","Taz","Chiens de sport","retriever labrador","Grand caniche","Mâle","noir","2019-01-13","0","0","0","1","0"
"173521","2019-07-09","2020-07-09","Fabreville","Chien","Cuki","Chiens de berger","Berger australien","","Femelle","White brown","2019-03-01","0","0","0","0","0"
"173429","2019-06-14","2020-06-13","Sainte-Rose","Chien","Sasha","Chiens de sport","retriever labrador","Autre","Mâle","Noir","2019-03-03","0","1","5","1","0"
"177904","2020-01-07","2021-01-07","Saint-François","Chien","Jonhgo ","Lévriers et chiens courants","Beagle","Autre","Mâle","brun tacheté blanc ","2018-09-20","0","0","0","0","0"
"166734","2019-06-21","2020-06-21","Fabreville","Chien","Toby","Chiens de sport","Épagneul cocker anglais","Autre","Mâle","roux","2012-04-20","0","1","17","1","0"
"66719","2019-07-05","2020-07-03","Sainte-Rose","Chat","Oscar","","","Autre","Mâle","gris tricolor","2017-01-01","1","1","6","1","0"
"60988","2020-01-06","2021-01-06","Vimont","Chat","Amore","","","Autre","Femelle","tigré crème","2012-05-14","1","1","5","1","0"
"163916","2019-05-14","2020-05-14","Sainte-Rose","Chien","Blaze","Terriers","Bull-terrier","Autre","Mâle","blanc et gris","2012-05-21","0","1","29","1","0"
"61440","2019-01-22","2020-01-21","Saint-Vincent-de-Paul","Chat","Tigars","","","","Mâle","Noir","2013-01-31","0","1","7","1","0"
"62034","2019-03-14","2020-03-12","Sainte-Rose","Chat","Snowball","","","","Femelle","Blanche","2011-08-01","0","1","10","1","0"
"162636","2019-08-01","2020-08-01","Laval-Ouest","Chien","Chablis","Chiens nains","Terrier du Yorkshire","","Mâle","Blond","2010-06-15","0","1","3","1","0"
"67859","2019-08-23","2020-08-23","Chomedey","Chat","Inouk","","","","Femelle","Snow leopard","2009-03-01","1","1","4","1","0"
"166387","2019-01-17","2020-01-16","Chomedey","Chien","Charlot","Chiens de travail","Bouvier bernois","retriever doré","Mâle","blond","2017-10-13","0","1","12","1","0"
"60693","2019-05-31","2020-05-31","Sainte-Rose","Chat","Yoda","","","","Mâle","Sorel","2011-03-23","0","1","5,8","0","0"
"177326","2019-07-04","2020-07-04","Saint-Vincent-de-Paul","Chien","Molly","Chiens de travail","Boxer","Autre","Femelle","Brun et blanc","2012-09-24","1","1","38","1","0"
"173123","2019-05-23","2020-05-22","Vimont","Chien","Mégane","Chiens de compagnie","Shih Tzu","","Femelle","Tricolore","2009-04-24","0","1","5","1","0"
"169216","2019-08-23","2020-08-23","Sainte-Dorothée","Chien","Timmy","Chiens nains","Bichon maltais","Shih Tzu","Mâle","Blanc taché brun","2015-01-01","0","1","8","1","0"
"174422","2019-10-09","2020-10-06","Chomedey","Chien","Max","Chiens nains","poméranien","chihuahua a poil court","Mâle","noir et beige","2011-07-01","0","1","0","1","0"
"176495","2019-09-05","2020-09-05","Fabreville","Chien","Inouk","Chiens de berger","Berger Allemand","Husky sibérien","Mâle","Noir","2009-01-01","1","1","40","1","0"
"177916","2020-01-08","2021-01-07","Chomedey","Chien","Hera","Indéterminé","Pitbull","","Femelle","Brun ","2019-10-26","0","0","7","0","0"
"67632","2019-05-23","2020-05-23","Fabreville","Chat","Tao","","","Autre","Mâle","Noir","2010-12-06","1","1","0","1","0"
"165350","2019-05-21","2020-05-21","Chomedey","Chien","Blacky","Chiens nains","nain pinscher","chihuahua a poil court","Mâle","Noir","2014-09-18","1","1","8","1","0"
"66993","2019-05-10","2020-05-10","Fabreville","Chat","Missy","","","Autre","Femelle","Tabby gris","2015-01-05","1","1","4","1","0"
"173575","2019-07-17","2020-07-17","Laval-des-Rapides","Chien","Noah","Chiens de compagnie","Caniche moyen","Autre","Mâle","noir","2019-05-12","1","0","2","0","0"
"67053","2019-06-13","2020-06-13","Sainte-Rose","Chat","Goofy","","","Autre","Mâle","Siamois","2017-09-26","0","1","3","1","0"
"63578","2019-09-12","2020-09-12","Auteuil","Chat","Tom Pouce","","","","Mâle","Gris","2004-03-24","0","1","3,8","0","0"
"173685","2019-08-01","2020-08-01","","Chien","Rusty","Chiens de sport","retriever doré","","Mâle","Blond","2017-10-26","1","1","20","1","0"
"169849","2019-10-04","2020-10-03","Laval-des-Rapides","Chien","Lola","Chiens de sport","retriever doré","Autre","Femelle","beige et blanc","2017-03-03","1","1","31,8","1","0"
"167154","2019-06-28","2020-06-28","Chomedey","Chien","Lola","Chiens de travail","Grand danois","","Femelle","Bleu","2014-06-04","0","1","56,7","1","0"
"176883","2019-04-26","2020-04-26","Saint-François","Chien","Jenny","Lévriers et chiens courants","Dachshound teckel nain a poil court","","Femelle","Noir et feu","2014-10-02","1","1","10","1","0"
"165830","2019-08-07","2020-08-07","Chomedey","Chien","Fanny","Chiens nains","Bichon maltais","","Femelle","blanche","2007-12-19","0","0","0","1","0"
"68326","2019-11-03","2020-11-03","Saint-François","Chat","Leila","","","Autre","Femelle","Beige","2019-06-15","1","1","0","1","0"
"173252","2019-05-21","2020-05-21","Laval-des-Rapides","Chien","Mika","Chiens nains","pékinois","Autre","Mâle","Beige","2017-02-26","1","1","3,6","1","0"
"63771","2019-12-13","2020-12-13","Sainte-Rose","Chat","Meows","","","","Mâle","Beige","2015-01-01","1","1","6","1","0"
"172761","2019-05-13","2020-05-12","Fabreville","Chien","Pepper","Chiens nains","Terrier du Yorkshire","Autre","Femelle","noir gris","2019-02-09","0","1","0","1","0"
"63373","2019-12-12","2020-12-12","Vimont","Chat","Toxon","","","","Mâle","Beige","2014-06-01","0","1","4,5","0","0"
"62746","2019-08-20","2020-08-20","Fabreville","Chat","Tou Petite","","","","Femelle","Blanc mélangée","2015-01-01","0","1","0","1","0"
"163507","2019-06-14","2020-06-14","Chomedey","Chien","Macy","Terriers","Terrier du révérend Russell","","Femelle","tricolor","2009-06-28","0","1","7,25","1","0"
"68110","2019-10-08","2020-10-08","Vimont","Chat","Diablo","","","Autre","Mâle","","0000-00-00","0","0","0","0","0"
"176586","2019-03-22","2020-03-20","Vimont","Chien","Athena","Chiens de sport","retriever labrador","","Femelle","noir et blanc","2012-07-10","0","1","30","1","0"
"174546","2019-10-16","2020-10-15","Sainte-Dorothée","Chien","Amilou","Chiens de compagnie","chow chow","","Femelle","Blonde","2010-10-27","0","1","21","0","0"
"66110","2019-11-05","2020-11-05","Chomedey","Chat","Jasmine","","","Autre","Femelle","Blanc et beige","2010-08-20","0","1","5","1","0"
"66829","2019-04-23","2020-04-22","Fabreville","Chat","Tigrina(décédé)","","","Autre","Mâle","Multicolore","2004-01-01","0","1","5","0","0"
"176181","2019-02-27","2020-02-27","Fabreville","Chien","Duke","Chiens nains","Terrier du Yorkshire","Autre","Mâle","Noir","2004-07-28","1","0","6,6","1","0"
"177554","2019-11-25","2020-11-24","Fabreville","Chien","Milo","Chiens nains","Terrier du Yorkshire","","Mâle","Noir et beige","0000-00-00","0","0","0","0","0"
"64275","2019-08-13","2020-08-13","Fabreville","Chat","Souki","","","","Femelle","noir","2011-08-04","0","1","0","1","0"
"176371","2019-03-21","2020-03-21","Laval-des-Rapides","Chien","Lola","Chiens de compagnie","Bouledogue français","","Femelle","Bringé","2018-12-05","1","0","5","1","0"
"63854","2019-08-21","2020-08-21","Vimont","Chat","Léo","","","","Mâle","Taby","2017-07-04","0","1","3,62","1","0"
"160675","2019-02-28","2020-02-27","Sainte-Dorothée","Chien","Cachou","Chiens de compagnie","Shih Tzu","Caniche moyen","Femelle","noir","2016-09-05","1","1","3,5","1","0"
"68409","2019-12-11","2020-12-09","Chomedey","Chat","Caramel","","","","Mâle","Brun beige","2015-01-01","0","0","4","0","0"
"177489","2019-09-05","2020-09-05","Pont-Viau","Chien","Ruby","Chiens de berger","Berger Allemand","Autre","Femelle","Noir et feu","2016-06-25","1","1","40","1","0"
"62338","2019-07-03","2020-07-03","Fabreville","Chat","Championne","","","","Femelle","Écaille Tortue","2006-03-01","1","1","6","1","0"
"64078","2019-11-13","2020-11-13","Chomedey","Chat","Simon","","","Autre","Mâle","Noir","2011-03-01","0","1","0","0","0"
"161096","2019-02-18","2020-02-18","Auteuil","Chien","Maya","Chiens nains","Terrier du Yorkshire","","Femelle","Noir feu","2015-01-05","0","1","2,5","1","0"
"174820","2019-11-04","2020-11-04","Sainte-Rose","Chien","Brooklyn","Lévriers et chiens courants","Beagle","Border Colley","Femelle","noir brun","2019-08-10","0","0","0","1","0"
"68170","2019-10-18","2020-10-17","Sainte-Rose","Chat","Midori","","","Autre","Femelle","gris","2016-12-24","0","1","0","1","0"
"68075","2019-11-11","2020-11-11","Vimont","Chat","Cabosse","","","Autre","Mâle","Noir","2003-06-10","0","1","5,8","0","0"
"61408","2019-05-06","2020-05-04","Laval-des-Rapides","Chat","Alba","","","","Femelle","Brun","2017-08-11","0","1","4,7","1","0"
"171225","2019-10-11","2020-10-11","Sainte-Dorothée","Chien","Dexter","Indéterminé","Bouldogue américain","Autre","Mâle","Caramel","2010-11-08","1","1","54,4","0","0"
"176035","2019-02-21","2020-02-21","Laval-Ouest","Chien","Cohen","Chiens de sport","Épagneul cocker anglais","Caniche moyen","Mâle","Noir et brun","2018-11-11","1","0","0","1","0"
"164059","2019-05-27","2020-05-26","Chomedey","Chien","Sultan","Chiens de berger","Berger Allemand","Autre","Mâle","Noir / Feu","2018-02-22","0","0","9","1","0"
"173374","2019-06-12","2020-06-12","Sainte-Rose","Chien","Cléo","Chiens de travail","Boxer","","Femelle","Brun","2014-07-01","0","1","23","1","0"
"164852","2019-08-21","2020-08-21","Fabreville","Chien","Shadow","Chiens de sport","retriever doré","Caniche moyen","Mâle","Roux","2017-05-21","1","1","29,5","1","0"
"170950","2019-10-20","2020-10-20","Laval-Ouest","Chien","Henri","Chiens nains","Terrier du Yorkshire","","Mâle","Brun","2009-01-01","0","1","5","1","0"
"65567","2019-01-30","2020-01-29","Saint-Vincent-de-Paul","Chat","Chouchou","","","","Inconnu","Noir","2010-05-01","1","1","5","1","0"
"173156","2019-05-27","2020-05-26","Laval-Ouest","Chien","Jello","","Autre","Berger Allemand","Femelle","Noir et brun","2011-02-14","0","1","31,75","0","0"
"176023","2019-02-01","2020-02-01","Fabreville","Chien","Quique","Chiens de compagnie","Caniche moyen","","Mâle","Chocolat","2018-06-17","1","1","2","1","0"
"162551","2019-02-15","2020-02-15","Laval-Ouest","Chien","Pogo","Chiens nains","Carlin","","Mâle","Fauve","0000-00-00","0","0","8","1","0"
"167333","2019-06-26","2020-06-26","Saint-Vincent-de-Paul","Chien","Jack","Chiens nains","chihuahua a poil court","Inconnu","Mâle","Noir et blanc","2014-03-01","0","0","4,5","0","0"
"176462","2019-08-22","2020-08-22","Chomedey","Chien","Shumshum","Lévriers et chiens courants","Dachshund teckel standard a poil court","Bichon maltais","Mâle","brun","2012-06-20","1","0","0","1","0"
"160965","2019-03-08","2020-03-08","Chomedey","Chien","Kizmo","Terriers","schnauzer nain","","Mâle","noir","2017-05-19","1","1","15,87","1","0"
"176394","2019-04-04","2020-04-04","","Chien","Poupette","Chiens nains","Carlin","chihuahua a poil court","Femelle","Beige et noir","2010-04-04","1","0","7","0","0"
"177241","2019-06-26","2020-06-26","Duvernay","Chien","Hennessy","Chiens de travail","rottweiler","","Femelle","Noir-Feu","2019-03-29","0","1","10","1","0"
"174551","2019-10-07","2020-10-07","Chomedey","Chien","Koumba ","Chiens de travail","Husky sibérien","Autre","Femelle","noir ","2018-05-01","0","0","16","0","0"
"67729","2019-08-16","2020-08-16","Duvernay","Chat","Mimine","","","Autre","Femelle","Blanc et gris","0000-00-00","0","0","0","0","0"
"164724","2019-09-03","2020-09-02","Chomedey","Chien","Gamin","Chiens nains","Terrier du Yorkshire","","Mâle","brun et noir","2008-01-01","0","1","4,5","1","0"
"168918","2019-07-17","2020-07-15","Chomedey","Chien","Bella","Chiens nains","Caniche nain","","Femelle","noire","2018-04-26","0","1","2,4","1","0"
"177478","2019-09-04","2020-09-04","Fabreville","Chien","Coco","Chiens de compagnie","Shih Tzu","","Mâle","Tricolor brun","2012-09-04","0","1","5","1","0"
"174817","2019-11-04","2020-11-04","Chomedey","Chien","Balou","Chiens de travail","Husky sibérien","Berger Allemand","Inconnu","","2006-01-01","0","0","34,01","0","0"
"160322","2019-03-22","2020-03-21","Saint-François","Chien","Tyson","Chiens de sport","retriever labrador","Autre","Mâle","Brun et blanc","2014-06-14","1","1","39,46","1","0"
"164585","2019-09-13","2020-09-13","Laval-sur-le-Lac","Chien","Tyson","Chiens de compagnie","Terrier de Boston","Autre","Mâle","noir/blanc","2017-03-14","0","1","5,89","1","0"
"165544","2019-08-02","2020-08-02","Sainte-Dorothée","Chien","Luna","Chiens de sport","retriever labrador","","Femelle","Noire","2012-10-02","0","1","37","0","0"
"60244","2019-04-26","2020-04-26","Sainte-Rose","Chat","Alfée","","","","Femelle","Calio","2015-12-10","0","1","0","0","0"
"61942","2019-03-28","2020-03-27","Pont-Viau","Chat","Ti-Loup","","","","Mâle","tabby brun","2011-06-15","0","1","4,5","1","0"
"177611","2019-12-02","2020-12-02","Chomedey","Chien","Ramses","Chiens de berger","Berger Allemand","","Mâle","","2008-01-01","0","0","44","0","0"
"62903","2019-07-24","2020-07-23","Laval-des-Rapides","Chat","Lilirose","","","","Femelle","Lièvre","2014-01-14","0","1","5","1","0"
"64259","2019-09-10","2020-09-10","Sainte-Rose","Chat","Juliette","","","","Femelle","noire","2011-01-15","0","1","45","1","0"
"167670","2019-08-09","2020-08-09","Sainte-Dorothée","Chien","Oz","Chiens de berger","corgi gallois pembroke","Autre","Mâle","Rouge et blanc ","2017-04-05","1","1","4","1","0"
"176833","2019-03-13","2020-03-11","Fabreville","Chien","Tintin","Chiens de compagnie","Lhasa apso","Épagneul cocker américain","Mâle","Gris","2015-06-23","0","1","24","1","0"
"67733","2019-08-16","2020-08-16","Fabreville","Chat","Gastone (nala)","","","Autre","Femelle","grise galico","2015-09-11","0","1","5","1","0"
"174246","2019-09-20","2020-09-18","Chomedey","Chien","Megane","Chiens de sport","Épagneul cocker américain","","Femelle","Noir et blanc","2009-02-01","0","1","15","0","0"
"160715","2019-04-15","2020-04-15","Fabreville","Chien","Lucky","Chiens nains","Caniche nain","Autre","Mâle","Crème","2012-05-15","0","0","4,2","1","0"
"164380","2019-06-15","2020-06-13","Sainte-Dorothée","Chien","Papy","Chiens nains","chihuahua a poil long","poméranien","Mâle","Blanc","2013-06-01","0","1","3,6","1","0"
"176673","2019-02-07","2020-02-06","Pont-Viau","Chien","Mon Chien","Chiens nains","Terrier du Yorkshire","","Mâle","Gris et feu","2007-01-01","0","0","2","0","0"
"170609","2019-09-06","2020-09-05","Laval-Ouest","Chien","Marvin","Chiens de sport","Épagneul cocker anglais","","Mâle","Noir et blanc","0000-00-00","0","0","14,5","1","0"
"164597","2019-03-19","2020-03-17","Chomedey","Chien","Gucchi","Chiens nains","Carlin","","Mâle","Beige","2007-12-01","1","0","14,1","0","0"
"175306","2019-12-18","2020-12-18","Chomedey","Chien","Penny","Chiens de sport","retriever labrador","Border Colley","Femelle","White copper","2013-01-01","1","1","27","1","0"
"169081","2019-07-17","2020-07-15","Laval-des-Rapides","Chien","Lily","Chiens de sport","retriever labrador","Autre","Femelle","Yellow","2012-02-15","1","1","0","1","0"
"177801","2019-12-18","2020-12-18","Chomedey","Chien","Rosie ","","Golden Doodle","Autre","Femelle","brun ","2019-06-23","0","1","0","1","0"
"172516","2019-03-18","2020-03-16","Vimont","Chien","Rocky","Chiens nains","Carlin","Lhasa apso","Mâle","Brun","2012-11-01","0","1","0","0","0"
"61138","2020-01-07","2021-01-07","Laval-des-Rapides","Chat","Poussy","","","","Femelle","Noir / blanc","2007-02-02","1","1","0","1","0"
"65761","2019-11-27","2020-11-27","Laval-Ouest","Chat","Maggie","","","Autre","Femelle","Grey/White","2014-09-04","0","1","6","0","0"
"172403","2019-11-15","2020-11-14","Chomedey","Chien","Tipou","Chiens nains","Terrier du Yorkshire","","Mâle","Noir feu","2015-02-01","0","1","4","1","0"
"175031","2019-07-31","2020-07-31","Fabreville","Chien","Maya","Lévriers et chiens courants","Beagle","","Femelle","Tricolore","2009-04-29","1","1","13,6","1","0"
"177091","2019-07-23","2020-07-21","Fabreville","Chien","Kaya","Indéterminé","Pitbull","Autre","Femelle","gris","2015-12-19","1","1","32","1","0"
"163778","2019-11-04","2020-11-04","Duvernay","Chien","Gwapo","Indéterminé","Pitbull","Autre","Mâle","brun","2016-01-26","0","0","38","0","0"
"176176","2019-02-27","2020-02-27","Vimont","Chien","Spottie","Terriers","schnauzer nain","","Femelle","Noir","2004-02-27","0","1","4","0","0"
"173840","2019-08-12","2020-08-11","Sainte-Rose","Chien","Molson","Chiens de compagnie","Terrier de Boston","Autre","Mâle","Noir et blanc","2008-12-03","1","1","11,33","1","0"
"172553","2019-03-19","2020-03-19","Fabreville","Chien","Enzo","Chiens de sport","retriever labrador","Husky sibérien","Mâle","noir/blond","2016-11-01","0","1","32","1","0"
"174144","2019-09-16","2020-09-15","Pont-Viau","Chien","Choupette","Chiens nains","Terrier du Yorkshire","","Femelle","Beige","2013-12-12","0","1","6","1","0"
"64982","2019-07-26","2020-07-26","Duvernay","Chat","Milan","","","","Mâle","Gris","2017-04-25","1","1","0","1","0"
"61006","2019-10-24","2020-10-24","Chomedey","Chat","Bobino","","","","Mâle","noir et blanc","2008-06-12","0","1","5,44","1","0"
"174096","2019-09-26","2020-09-26","Sainte-Dorothée","Chien","Hendrix","Chiens de sport","Vizsla a poil dur","Autre","Mâle","Roux","2013-06-03","1","1","27,5","0","0"
"172582","2019-04-01","2020-04-01","Laval-sur-le-Lac","Chien","Harley","Chiens de sport","retriever labrador","","Mâle","Brown","2010-03-07","0","1","29,48","1","0"
"66644","2019-06-28","2020-06-28","Laval-des-Rapides","Chat","Branody","","","Autre","Femelle","Roux et blanc","2018-05-01","0","0","1","0","0"
"176215","2019-04-17","2020-04-17","Vimont","Chien","Precious","Chiens de travail","Boxer","","Femelle","Brun","2018-05-27","1","0","20","0","0"
"177443","2019-08-29","2020-08-28","Fabreville","Chien","Candy","Chiens nains","poméranien","Doberman Pinscher","Femelle","Feux","2016-12-04","0","1","5","1","0"
"60558","2020-01-10","2021-01-09","Auteuil","Chat","Sky","","","","Femelle","gris et beige","2011-12-25","1","1","4,23","0","0"
"169798","2019-08-09","2020-08-09","Auteuil","Chien","Cocotte","Chiens nains","Caniche nain","","Femelle","noir","2013-11-04","1","1","2,5","1","0"
"64843","2019-06-06","2020-06-06","Laval-des-Rapides","Chat","Félix","","","Autre","Mâle","Gris","2015-08-31","1","0","11","1","0"
"173781","2019-08-07","2020-08-07","Pont-Viau","Chien","Teddy","Chiens de compagnie","Shih Tzu","Autre","Mâle","tricolore","2018-11-09","1","1","8","1","0"
"67209","2019-02-01","2020-02-01","Fabreville","Chat","Krokmou","","","Autre","Mâle","Blanc/roux","2014-03-15","0","1","4","0","0"
"175954","2019-02-11","2020-02-10","Chomedey","Chien","Mini","","Inconnu","","Femelle","noir feu","2007-01-15","0","1","5,44","0","0"
"67473","2019-09-16","2020-09-15","Fabreville","Chat","Ti-Minou","","","Autre","Mâle","Jaune roux","2009-01-01","0","1","0","0","0"
"173201","2019-05-17","2020-05-16","Fabreville","Chien","Pinut","Chiens de compagnie","Shih Tzu","","Femelle","beige","2013-05-01","0","1","8","1","0"
"164802","2019-06-16","2020-06-16","Saint-Vincent-de-Paul","Chien","Cooky","Chiens nains","Bichon maltais","","Mâle","Blanc","2005-01-01","0","0","3,5","1","0"
"63340","2019-05-17","2020-05-16","Duvernay","Chat","Alice","","","","Femelle","Gris","2011-10-04","0","1","4,5","1","0"
"67752","2019-05-29","2020-05-29","Fabreville","Chat","Minet","","","Autre","Mâle","Gris","2006-01-01","1","0","10","0","0"
"63002","2019-07-22","2020-07-21","Laval-des-Rapides","Chat","Tiger","","","","Mâle","taby gris","2017-05-28","0","1","1,12","1","0"
"60212","2019-04-11","2020-04-11","Saint-Vincent-de-Paul","Chat","Tabasco","","","","Mâle","tigré noir et brun","2017-07-21","0","1","4,08","1","0"
"175060","2019-11-18","2020-11-18","Fabreville","Chien","Bowser","Chiens de berger","Border Colley","","Mâle","noir brun et blanc","2011-07-31","0","0","17,23","1","0"
"174532","2019-10-15","2020-10-14","Chomedey","Chien","Bulka Moka","Chiens nains","Caniche nain","","Inconnu","Chocolat","2014-01-24","0","1","6","1","0"
"174543","2019-10-16","2020-10-15","Fabreville","Chien","Misty","Chiens de travail","Leonberger","","Femelle","fauve et noir","2019-03-21","0","0","43","0","0"
"160758","2019-12-23","2020-12-23","Duvernay","Chien","Puggo","Chiens nains","Carlin","","Mâle","Beige","2016-01-10","1","1","15","1","0"
"65695","2019-12-23","2020-12-23","Fabreville","Chat","Princess tiger lily","","","","Femelle","tricoleur","2010-07-01","1","1","5,4","0","0"
"176195","2019-03-07","2020-03-06","Fabreville","Chien","John Lester Deere","Lévriers et chiens courants","Dachshound teckel nain a poil court","","Mâle","Brun","2013-06-06","1","1","8","0","0"
"170992","2019-09-09","2020-09-09","Chomedey","Chien","Toby","Chiens de compagnie","Shih Tzu","Caniche moyen","Mâle","Beige","0000-00-00","0","1","5","1","0"
"61149","2019-04-25","2020-04-25","Laval-des-Rapides","Chat","Mia","","","","Femelle","Tigré-Gris","2015-05-28","1","1","3,63","1","0"
"174073","2019-09-17","2020-09-17","Pont-Viau","Chien","Maya","Chiens nains","chihuahua a poil court","Autre","Femelle","Fauve","0000-00-00","0","1","3","1","0"
"176553","2019-12-20","2020-12-20","Sainte-Dorothée","Chien","Chloé","Chiens de travail","schnauzer standard","","Femelle","Noir","2009-08-23","0","1","16","1","0"
"61582","2019-06-12","2020-06-12","Chomedey","Chat","Sid","","","","Mâle","Tigré","2011-11-15","1","1","5,08","1","0"
"162177","2019-02-19","2020-02-19","Fabreville","Chien","Scottie Hallal","Chiens de compagnie","Shih Tzu","","Mâle","blanc","2007-09-11","1","1","6","1","0"
"64913","2019-12-13","2020-12-13","Duvernay","Chat","Caramel","","","","Femelle","Tabby","2003-10-01","1","1","3,5","0","0"
"68090","2019-11-18","2020-11-18","Laval-Ouest","Chat","Marilyn","","","Autre","Femelle","Noir et blanc","2006-07-01","1","1","5","0","0"
"170227","2019-10-17","2020-10-17","Laval-des-Rapides","Chien","Patch","Lévriers et chiens courants","Beagle","","Mâle","Marron","2013-07-01","1","1","21","1","0"
"68433","2019-12-16","2020-12-16","Chomedey","Chat","Léo","","","Autre","Mâle","Gris brun","2011-09-12","1","1","0","1","0"
"176971","2019-06-03","2020-06-03","Chomedey","Chien","Toby - 17","Chiens de sport","retriever labrador","Bouvier bernois","Mâle","Noir","2017-03-13","1","1","39","1","0"
"161757","2019-01-24","2020-01-24","Sainte-Dorothée","Chien","Rocky","Chiens nains","Caniche nain","","Mâle","","2017-03-24","1","1","4,53","1","0"
"61814","2019-04-04","2020-04-02","Sainte-Dorothée","Chat","Gaston","","","","Mâle","Caramel","2014-09-01","0","1","0","1","0"
"174161","2019-09-22","2020-09-22","Sainte-Dorothée","Chien","Balou","","Autre","Autre","Inconnu","","0000-00-00","0","1","0","1","0"
"173667","2019-07-31","2020-07-31","Saint-François","Chien","Pouky","Chiens de berger","Berger Shetland","Épagneul cocker américain","Mâle","noir et tan","2005-01-01","1","1","15","0","0"
"168272","2019-06-19","2020-06-19","Sainte-Rose","Chien","Bailey","Chiens de compagnie","Shih Tzu","","Mâle","Fauve","0000-00-00","1","1","7","0","0"
"177037","2019-06-17","2020-06-17","Vimont","Chien","Rocky","Chiens de travail","Doberman Pinscher","Berger Allemand","Mâle","Noir et brun","2016-07-08","1","0","50","0","0"
"173590","2019-07-24","2020-07-23","Chomedey","Chien","Bella","Chiens nains","Caniche nain","Autre","Femelle","Beige","2010-05-29","1","1","4,53","0","0"
"165745","2019-05-28","2020-05-28","Sainte-Rose","Chien","Cocotte","Chiens nains","chihuahua a poil court","","Femelle","Beige","2016-11-01","0","1","2,6","1","0"
"169056","2019-09-04","2020-09-04","Laval-des-Rapides","Chien","Ori","Chiens de berger","colley a poil dur","","Mâle","Tricolore","2017-06-04","1","1","28,12","1","0"
"164948","2019-05-22","2020-05-20","Auteuil","Chien","Zoe","Chiens de compagnie","Shih Tzu","","Femelle","crème","2012-07-17","1","1","6,8","1","0"
"165121","2019-06-26","2020-06-26","Saint-François","Chien","Charly Counia","Lévriers et chiens courants","Dachshound teckel nain a poil court","","Mâle","noir","2011-01-01","0","1","0","1","0"
"167703","2019-06-15","2020-06-13","Sainte-Rose","Chien","Buddy","Chiens de compagnie","Lhasa apso","Autre","Mâle","tricolor","2007-06-22","1","1","3","1","0"
"177678","2019-12-10","2020-12-09","Pont-Viau","Chien","Noa","Chiens de travail","Boxer","","Mâle","Beige","2019-04-16","0","0","0","0","0"
"62523","2019-05-22","2020-05-21","Saint-Vincent-de-Paul","Chat","Pantoufle","","","","Femelle","Gris et brun","2011-01-01","0","1","0","1","0"
"163889","2019-04-03","2020-04-02","Sainte-Dorothée","Chien","Maya","Chiens de travail","Bouvier bernois","Grand caniche","Femelle","blanc gris","2008-05-01","0","1","80","1","0"
