"Permis_Numéro","Permis_Date_de_début","Permis_Date_de_fin","Gardien_Territoire_ex_villes","Animal_Type_de_permis","Animal_Nom","Animal_Catégorie_race_primaire_de_chiens","Animal_Race_primaire_des_chiens","Animal_Race_croisé_des_chiens","Animal_Sexe","Animal_Couleur","Animal_Date_de_naissance","Animal_Vaccination","Animal_Stérilisation","Animal_Poids_kg","Animal_Micropuce","Animal_Potentiellement_dangereux"
"173524","2019-07-09","2020-07-09","Chomedey","Chien","Maya 2","Chiens de sport","retriever doré","Autre","Femelle","Beige","2017-10-19","1","1","9","1","0"
"170417","2019-09-18","2020-09-18","Saint-François","Chien","Kyra","Chiens de travail","rottweiler","","Femelle","Noir et brun","2016-01-01","0","0","38,6","0","0"
"175146","2019-12-12","2020-12-12","Chomedey","Chien","Platon","Chiens nains","Bichon maltais","Caniche nain","Mâle","blanc","2011-04-21","1","1","4","0","0"
"172718","2019-04-02","2020-03-31","Pont-Viau","Chien","Luna","Chiens de sport","retriever doré","retriever labrador","Femelle","doré","2018-12-25","0","0","0","0","0"
"67287","2019-02-13","2020-02-12","Laval-Ouest","Chat","Daze","","","Autre","Femelle","Brun et blanc","2018-02-12","0","1","0","1","0"
"173936","2019-08-20","2020-08-20","Chomedey","Chien","Snoopy","Chiens de compagnie","Shih Tzu","","Mâle","blanc beige","2006-01-01","1","1","8","0","0"
"172151","2019-11-14","2020-11-14","Saint-François","Chien","Chucky","Chiens de berger","Berger australien","","Mâle","Noir","2016-06-24","0","1","36","1","0"
"161570","2019-02-20","2020-02-19","Fabreville","Chien","Marley","Chiens de berger","Berger Allemand","Autre","Mâle","noir-blanc","2013-02-17","1","1","34","1","0"
"161832","2019-11-25","2020-11-25","Chomedey","Chien","Chaska","Chiens de travail","Husky sibérien","","Mâle","argenté","2010-11-03","1","1","34,92","1","0"
"174675","2019-10-29","2020-10-29","Pont-Viau","Chien","Chamy","Chiens nains","Bichon maltais","","Mâle","Blanc","2008-03-01","0","1","3,5","0","0"
"173269","2019-05-20","2020-05-19","Fabreville","Chien","Maya","Chiens nains","poméranien","Autre","Femelle","Brun","2011-06-01","0","1","19","0","0"
"176287","2019-03-05","2020-03-05","Fabreville","Chien","Cachoue","Chiens de compagnie","Shih Tzu","","Mâle","","0000-00-00","0","1","0","0","0"
"175128","2019-08-28","2020-08-28","Laval-des-Rapides","Chien","Gizmo","Chiens nains","Terrier du Yorkshire","Bichon maltais","Mâle","Blanc","2016-08-21","0","0","2,26","0","0"
"167190","2019-08-21","2020-08-21","Sainte-Rose","Chien","Spiky","Chiens nains","nain pinscher","","Mâle","Noir","2010-01-26","0","1","5,4","0","0"
"170055","2019-09-26","2020-09-26","Laval-Ouest","Chien","Moka","Chiens de compagnie","Caniche moyen","Autre","Mâle","Brun","2010-10-26","1","1","6,35","1","0"
"61489","2019-06-11","2020-06-11","Chomedey","Chat","Sushi","","","","Femelle","Tigré","2008-02-01","0","1","6","1","0"
"66047","2019-11-20","2020-11-20","Saint-François","Chat","Counie","","","","Mâle","Noir","2013-05-21","0","1","5","1","0"
"67608","2019-05-17","2020-05-16","Saint-Vincent-de-Paul","Chat","Charlotte","","","","Femelle","Tigré","2012-08-23","0","1","4","1","0"
"170207","2019-11-25","2020-11-24","Vimont","Chien","Willy","Chiens nains","chihuahua a poil court","","Mâle","Fauve blanc et beige","2017-09-13","0","1","2,3","1","0"
"177816","2019-12-19","2020-12-19","Fabreville","Chien","Marty","Chiens nains","Carlin","","Mâle","noir","2019-07-15","0","0","5","0","0"
"68609","2020-01-09","2021-01-09","Sainte-Rose","Chat","Bob","","","Autre","Mâle","Noir et blanc","2004-06-21","0","1","6","0","0"
"65352","2019-07-05","2020-07-04","Chomedey","Chat","Zak","","","","Mâle","noir et blanc","2012-03-10","1","1","5","0","0"
"174178","2019-09-22","2020-09-22","Vimont","Chien","Bella","Chiens de compagnie","Shih Tzu","Bichon maltais","Femelle","blanc et beige","2014-04-30","0","0","4","1","0"
"66636","2019-06-26","2020-06-26","Chomedey","Chat","Scherzo","","","Autre","Mâle","Fauve","2019-03-26","0","1","5","1","0"
"176147","2019-01-24","2020-01-24","Sainte-Rose","Chien","Jack","Chiens de compagnie","Caniche moyen","","Mâle","blanc","2014-04-24","1","1","26","1","0"
"174172","2019-09-25","2020-09-23","Sainte-Dorothée","Chien","Princess","Chiens nains","Carlin","","Femelle","blanche","2011-04-29","0","1","11","1","0"
"168379","2019-07-05","2020-07-04","Laval-des-Rapides","Chien","Bloopers","Chiens de sport","retriever labrador","Autre","Mâle","Noir","2012-11-30","1","1","36,28","1","0"
